iter	Passed	Remaining
531	16537	76718
532	16567	76681
533	16598	76651
534	16629	76617
535	16656	76571
536	16688	76541
537	16718	76508
538	16746	76462
539	16777	76430
540	16805	76386
541	16834	76343
542	16865	76314
543	16894	76272
544	16922	76230
545	16951	76188
546	16981	76150
547	17009	76108
548	17038	76066
549	17068	76031
550	17098	75995
551	17128	75960
552	17159	75928
553	17189	75894
554	17220	75862
555	17249	75824
556	17280	75790
557	17312	75765
558	17345	75744
559	17379	75723
560	17412	75703
561	17444	75677
562	17475	75645
563	17504	75606
564	17535	75572
565	17566	75543
566	17596	75504
567	17625	75466
568	17655	75431
569	17687	75406
570	17717	75368
571	17748	75335
572	17781	75313
573	17813	75287
574	17841	75246
575	17871	75209
576	17900	75167
577	17930	75132
578	17959	75093
579	17989	75061
580	18018	75021
581	18049	74987
582	18080	74956
583	18113	74934
584	18146	74912
585	18177	74882
586	18206	74844
587	18236	74807
588	18264	74765
589	18297	74740
590	18326	74701
591	18354	74660
592	18385	74626
593	18415	74590
594	18444	74551
595	18473	74512
596	18502	74475
597	18530	74432
598	18558	74386
599	18586	74345
600	18615	74308
601	18645	74272
602	18675	74236
603	18703	74196
604	18733	74160
605	18764	74130
606	18798	74109
607	18828	74075
608	18858	74039
609	18886	73998
610	18917	73965
611	18945	73925
612	18974	73886
613	19003	73846
614	19032	73807
615	19061	73769
616	19088	73724
617	19117	73686
618	19147	73653
619	19174	73605
620	19203	73566
621	19231	73524
622	19259	73482
623	19288	73444
624	19318	73410
625	19346	73368
626	19377	73338
627	19406	73301
628	19438	73273
629	19467	73236
630	19496	73196
631	19527	73166
632	19556	73129
633	19586	73094
634	19615	73055
635	19645	73020
636	19673	72982
637	19704	72948
638	19733	72911
639	19762	72874
640	19793	72845
641	19822	72807
642	19856	72784
643	19889	72762
644	19922	72741
645	19954	72711
646	19982	72672
647	20011	72633
648	20040	72597
649	20071	72564
650	20101	72533
651	20131	72497
652	20162	72466
653	20195	72445
654	20226	72413
655	20255	72375
656	20287	72348
657	20319	72322
658	20348	72285
659	20378	72251
660	20410	72223
661	20444	72204
662	20475	72174
663	20507	72145
664	20537	72111
665	20566	72075
666	20596	72041
667	20627	72010
668	20657	71976
669	20686	71938
670	20717	71910
671	20749	71881
672	20778	71844
673	20810	71816
674	20842	71789
675	20872	71756
676	20902	71721
677	20932	71688
