iter	Accuracy_SumError	Accuracy_SumWeight	MultiClass_SumError	MultiClass_SumWeight
142	2175.999988	2241.099987	330.9142923	2241.099987
143	2177.299988	2241.099987	328.8361313	2241.099987
144	2177.299988	2241.099987	326.6323467	2241.099987
145	2177.299988	2241.099987	324.8235052	2241.099987
146	2177.299988	2241.099987	322.6012046	2241.099987
147	2177.299988	2241.099987	320.2822814	2241.099987
148	2177.299988	2241.099987	317.5931152	2241.099987
149	2177.299988	2241.099987	315.8094312	2241.099987
150	2177.299988	2241.099987	313.6647902	2241.099987
151	2177.299988	2241.099987	311.5805511	2241.099987
152	2177.299988	2241.099987	309.8818588	2241.099987
153	2177.299988	2241.099987	307.6861925	2241.099987
154	2177.299988	2241.099987	305.764425	2241.099987
155	2178.599988	2241.099987	304.2431472	2241.099987
156	2181.199988	2241.099987	302.4666085	2241.099987
157	2181.199988	2241.099987	300.9839136	2241.099987
158	2181.199988	2241.099987	298.6787	2241.099987
159	2182.499988	2241.099987	296.7921841	2241.099987
160	2183.799988	2241.099987	294.9518742	2241.099987
161	2186.399988	2241.099987	293.1496171	2241.099987
162	2187.699988	2241.099987	291.725302	2241.099987
163	2187.699988	2241.099987	289.7129506	2241.099987
164	2187.699988	2241.099987	288.045888	2241.099987
165	2187.699988	2241.099987	286.5695358	2241.099987
166	2188.699988	2241.099987	284.785024	2241.099987
167	2188.699988	2241.099987	282.9445546	2241.099987
168	2188.699988	2241.099987	281.1799138	2241.099987
169	2188.699988	2241.099987	279.8210524	2241.099987
170	2188.699988	2241.099987	278.0255307	2241.099987
171	2188.699988	2241.099987	276.1648268	2241.099987
172	2188.699988	2241.099987	274.8437622	2241.099987
173	2188.699988	2241.099987	273.3726239	2241.099987
174	2188.699988	2241.099987	271.7675641	2241.099987
175	2190.199988	2241.099987	270.2841	2241.099987
176	2191.499988	2241.099987	268.7868009	2241.099987
177	2191.499988	2241.099987	266.7566907	2241.099987
178	2191.499988	2241.099987	264.6331907	2241.099987
179	2191.499988	2241.099987	263.059531	2241.099987
180	2191.499988	2241.099987	261.742932	2241.099987
181	2191.499988	2241.099987	260.1985372	2241.099987
182	2191.499988	2241.099987	259.1557153	2241.099987
183	2191.499988	2241.099987	258.2008351	2241.099987
184	2191.499988	2241.099987	257.0865411	2241.099987
185	2191.499988	2241.099987	255.699218	2241.099987
186	2191.499988	2241.099987	254.6770812	2241.099987
187	2191.499988	2241.099987	253.5641213	2241.099987
188	2191.499988	2241.099987	252.4482044	2241.099987
189	2191.499988	2241.099987	251.0764849	2241.099987
190	2191.499988	2241.099987	250.1543034	2241.099987
191	2191.499988	2241.099987	248.5511804	2241.099987
192	2191.499988	2241.099987	247.258303	2241.099987
193	2191.499988	2241.099987	246.1917577	2241.099987
194	2191.499988	2241.099987	244.7292559	2241.099987
195	2191.499988	2241.099987	243.4808025	2241.099987
196	2192.499988	2241.099987	242.3684618	2241.099987
197	2192.499988	2241.099987	241.0073422	2241.099987
198	2195.099988	2241.099987	239.9786482	2241.099987
199	2195.099988	2241.099987	238.9087607	2241.099987
200	2195.099988	2241.099987	237.6960369	2241.099987
201	2195.099988	2241.099987	236.9264429	2241.099987
202	2195.099988	2241.099987	235.901107	2241.099987
203	2196.599988	2241.099987	234.9146591	2241.099987
204	2196.599988	2241.099987	233.7010374	2241.099987
205	2196.599988	2241.099987	232.7048459	2241.099987
206	2196.599988	2241.099987	231.5110918	2241.099987
207	2196.599988	2241.099987	230.3322993	2241.099987
208	2196.599988	2241.099987	229.4220448	2241.099987
209	2196.599988	2241.099987	228.3442526	2241.099987
210	2196.599988	2241.099987	227.564752	2241.099987
211	2196.599988	2241.099987	226.2975059	2241.099987
212	2196.599988	2241.099987	225.3609741	2241.099987
213	2197.899988	2241.099987	224.2225586	2241.099987
214	2199.199988	2241.099987	223.2909379	2241.099987
215	2201.799988	2241.099987	222.3379268	2241.099987
216	2201.799988	2241.099987	221.3315388	2241.099987
217	2201.799988	2241.099987	220.3372486	2241.099987
218	2201.799988	2241.099987	219.8151371	2241.099987
219	2201.799988	2241.099987	218.9007774	2241.099987
220	2201.799988	2241.099987	217.9794478	2241.099987
221	2203.099988	2241.099987	216.9050848	2241.099987
222	2203.099988	2241.099987	216.1875602	2241.099987
223	2203.099988	2241.099987	215.0760293	2241.099987
224	2203.099988	2241.099987	213.8194594	2241.099987
225	2203.099988	2241.099987	213.1228562	2241.099987
226	2203.099988	2241.099987	212.5103095	2241.099987
227	2203.099988	2241.099987	211.8763363	2241.099987
228	2204.399987	2241.099987	210.6991828	2241.099987
229	2205.699987	2241.099987	209.586485	2241.099987
230	2205.699987	2241.099987	208.8065625	2241.099987
231	2206.999987	2241.099987	207.915828	2241.099987
232	2206.999987	2241.099987	207.1063377	2241.099987
233	2206.999987	2241.099987	206.1892099	2241.099987
234	2208.499987	2241.099987	205.0966924	2241.099987
235	2208.499987	2241.099987	204.0731488	2241.099987
236	2208.499987	2241.099987	203.1676036	2241.099987
237	2208.499987	2241.099987	202.4255894	2241.099987
238	2208.499987	2241.099987	201.4611654	2241.099987
239	2208.499987	2241.099987	200.6346731	2241.099987
240	2208.499987	2241.099987	200.1327255	2241.099987
241	2208.499987	2241.099987	199.1822178	2241.099987
242	2208.499987	2241.099987	198.2737304	2241.099987
243	2208.499987	2241.099987	197.4384893	2241.099987
244	2209.799987	2241.099987	196.6467921	2241.099987
245	2209.799987	2241.099987	195.9772423	2241.099987
246	2209.799987	2241.099987	195.2795637	2241.099987
247	2209.799987	2241.099987	194.5343382	2241.099987
248	2209.799987	2241.099987	193.4826365	2241.099987
249	2209.799987	2241.099987	192.6741175	2241.099987
250	2211.099987	2241.099987	191.7291785	2241.099987
251	2210.099987	2241.099987	191.1057631	2241.099987
252	2211.099987	2241.099987	190.4399928	2241.099987
253	2211.099987	2241.099987	189.4078355	2241.099987
254	2209.799987	2241.099987	188.6051718	2241.099987
255	2211.099987	2241.099987	187.924982	2241.099987
256	2212.599987	2241.099987	187.1615862	2241.099987
257	2211.599987	2241.099987	186.3951849	2241.099987
258	2211.599987	2241.099987	185.7789163	2241.099987
259	2211.599987	2241.099987	185.0401527	2241.099987
260	2212.899987	2241.099987	184.1477467	2241.099987
261	2212.899987	2241.099987	183.7084556	2241.099987
262	2212.899987	2241.099987	183.0443685	2241.099987
263	2215.499987	2241.099987	182.5675702	2241.099987
264	2214.199987	2241.099987	181.7651713	2241.099987
265	2214.199987	2241.099987	181.0571043	2241.099987
266	2215.199987	2241.099987	180.4359256	2241.099987
267	2216.499987	2241.099987	179.8579191	2241.099987
268	2216.499987	2241.099987	178.919168	2241.099987
269	2217.499987	2241.099987	178.4215729	2241.099987
270	2217.499987	2241.099987	177.9173057	2241.099987
271	2217.499987	2241.099987	177.1464135	2241.099987
272	2217.499987	2241.099987	176.6566502	2241.099987
273	2217.499987	2241.099987	176.1339338	2241.099987
274	2217.499987	2241.099987	175.5385818	2241.099987
275	2217.499987	2241.099987	174.9695365	2241.099987
276	2217.499987	2241.099987	174.3679457	2241.099987
277	2218.999987	2241.099987	173.5692158	2241.099987
278	2218.999987	2241.099987	172.8231964	2241.099987
279	2220.499987	2241.099987	172.2191094	2241.099987
280	2220.499987	2241.099987	171.578722	2241.099987
281	2220.499987	2241.099987	170.9850403	2241.099987
282	2220.499987	2241.099987	170.3581404	2241.099987
283	2220.499987	2241.099987	169.6850691	2241.099987
